3333 10000
374657534 256674425 443853123
191232655 774658487 130757125
58649335 15433896 145792420
614523487 675011253 359423752
973128892 184888405 230600522
364405891 768786934 528197659
988292920 391172101 384102913
846097149 853733181 728419185
227017286 174393381 334706638
798361268 188474911 228626173
112947610 293106216 758544006
578974819 539239163 318547957
742171492 966035167 945436965
48694943 692565644 734102653
666429521 306948003 230449511
231018488 668857944 857639090
609155960 210410235 880929743
302640752 143675336 373172120
880711421 772380763 965668343
97414198 468857512 97574491
761613030 95024052 357579470
388287503 5342779 753346479
993921095 564064960 667028015
349594293 805434176 156133644
294617301 360892818 338260778
314769797 730213767 448581462
309683763 977468421 78954013
873224153 410378122 421189934
97182491 907887450 293328735
120951640 996955221 980516331
536790684 759057686 974134616
15401088 894504751 607555741
913751487 284189680 318533458
799724276 222830150 922658617
99760432 409094714 378988533
575705833 502298339 404548078
336220254 533672243 429889332
373493531 150362341 737538380
121988561 53145644 319330654
952387027 918524884 321442310
486334713 498209372 965820524
213882317 905811817 615784886
527073344 472586499 544423075
567904489 777818168 169520110
942486158 176365020 550958483
517871981 864743293 66011513
939298444 121312912 90072607
741336583 686391878 81675683
990211398 756875919 26601686
601756784 773281138 539799752
39242779 696092820 852164934
452389989 326742735 404967823
997997441 310435605 298466801
345025099 264580471 421792568
61462416 907707266 250349266
34534308 735697253 499143298
194568423 135470979 956064939
165015272 411931486 469607930
774545889 571163270 767585510
426257628 781827325 145521675
495655502 210045198 579296543
748512710 212662655 17453377
67270748 534673935 816761683
820310015 783205304 963950665
684583785 505794739 825963061
625189328 494884395 402099479
969612251 94885107 239430839
107394083 594396055 794859333
770749912 667013325 300012226
694487758 915496707 215165488
663738789 875457981 7617830
306965826 886393817 648176125
662618845 140029431 217742140
276244613 37740589 210429416
18313360 546752395 644781878
275526079 109353335 899233565
980585840 366434693 873381052
504918037 901106817 740892652
200475473 172189042 196815869
127096194 432290208 219482983
548360713 65750583 857930756
640616224 174315163 736789098
117231921 603803676 735079567
329972242 271946706 987787765
522921058 264910876 323028433
449167470 721116105 404684668
562631868 72000280 442701341
701565029 775632292 704224697
606417344 12506835 774153763
113926656 533067196 805996384
222024446 425711386 611543664
409761623 315807982 533631048
780868861 810754704 169922509
768033784 749250426 156120858
896913544 956881909 489281388
56424317 544532704 239485934
776200077 869217218 907825374
107489759 812925069 927159147
937515629 709328792 486511043
135599671 74379685 932822710
250131872 209020803 535743365
437641464 866116433 390543376
636186417 820882682 977463137
884691193 990158740 183669875
44661195 618556665 430243607
358800651 267494427 744301525
473324334 993828650 386469272
108477459 518768766 989571751
172939071 313431805 956555591
680101445 612140304 537427918
916268331 992167648 99080220
727469050 810516446 964700448
315703196 929853856 185180
349428378 680901083 998559120
515231710 502516298 825708402
953557245 395886697 274495645
779743640 332079193 555665154
171438079 185791906 433681587
310166092 59716343 560265276
477573551 378977656 424967130
4774817 821469931 99988614
293014973 530099333 182992022
128567485 580398406 154655960
263300244 135318153 59330447
169554098 524323766 126174047
386872824 310511132 82892685
72682464 500256349 438405777
257653439 640324131 171485333
161958850 300537812 777614429
68081145 273539604 337558275
141597816 255680993 786585156
616876251 495714146 449614818
127555687 211039229 473325861
832860421 228700248 900961785
593963508 119689025 895319316
479587325 929771692 370451631
699817122 290900643 175833292
33288421 7666457 537890092
83522652 453772749 788894264
606566347 990301649 864756292
446867674 584441995 946269034
50142119 397870923 478347351
22487747 364307321 362425674
699778816 74270057 406132359
47407155 25326241 391796936
924539390 971244883 847228245
195369331 750234838 210554010
862347205 889374236 815970828
170854829 825897533 703757869
645223945 145747134 513854208
852427509 238349113 63399362
621670460 980787164 142940736
626397982 21554469 906544296
605539445 360934995 507571225
515380650 501372631 116060584
556022905 263517499 945030872
664521590 97538082 554871994
77553945 713751228 247532681
298710287 790861793 155277876
408203264 991427975 618023005
142940337 792723816 833967749
732110194 981957303 66210040
896451617 206903237 919471041
948060217 951379352 941204861
973543456 481489619 69972639
243267506 591209532 55441368
894643701 690607160 208659509
942379905 942435275 557282125
523712914 46948468 774913204
747098399 176085976 405687530
72191150 273089845 543341226
418399024 704127948 512502934
396152983 615678034 249624572
871969443 17362192 391157327
54105039 819972227 271145775
653078827 826700114 726215322
64236986 377384640 841754685
28116761 925695456 878805521
553676574 68064703 471914362
951496562 288702600 687942246
428289379 429213664 30672435
543407737 4147610 674424902
971198818 460380922 38457744
648209147 594775168 896077248
703416537 153531971 208762063
510389499 830241366 878440995
371937530 20482718 729022362
850321586 137379330 89998782
568751936 425763065 937457177
696394309 852819443 249249177
381786379 44493948 570224035
699531423 681510564 150523905
551554058 746198808 803584231
7015540 700354055 883231714
304449234 210441881 375362678
61872077 621102714 79468343
7116732 87521170 713012229
831878347 531370371 176199339
22306578 745097849 835729727
366207418 299136718 725085102
850940977 486510069 759107877
459467181 936558236 935711050
709426318 781631408 549840714
302078288 471479197 933764251
505407130 573919522 224266488
451308771 152427528 413608966
652826666 220645160 806616577
418353550 333090668 308030622
682417775 196483354 168563760
494007527 341452162 62481072
957713642 108292523 431561294
769980041 549865677 61092694
362826628 778582161 81069903
258241718 780217726 781283925
656422201 484816028 656963861
5451941 183944363 32718224
384568029 503816041 117498277
854026878 772599218 742390438
72356595 930462870 959209010
45546346 97725347 258016306
585950825 33412862 672974159
542424365 725092906 376887107
589983864 865129462 163393949
768540007 372273247 936315165
847226399 698688604 764026653
932211346 556713961 728489506
851726454 402894243 762152900
44331413 110228643 753514630
904168356 274215744 188663588
987452354 26198181 269029746
781586358 856382267 584707083
20593191 584019620 764745390
378213256 216585555 53929480
34973911 369579419 448284305
81378341 782422004 819989888
36729574 108147161 351369770
188598946 652697671 66955611
766779495 497287385 502460170
44317008 555830808 86869307
621830597 719109461 794714014
927455924 299708945 19546610
40638433 656221794 743238433
894781401 718478637 734969297
462609898 714009102 387976133
396398203 628263637 810067971
540949541 693243975 982016503
462574319 830165308 127140861
59026726 659422264 520001643
236770094 173918062 896425212
585060700 873692620 399869303
191852004 639581468 745930092
892078055 888545373 659374804
497890765 867956505 909302665
838428066 241481842 534352518
21073294 833851123 438478235
143892391 51789439 918642267
977640744 999570736 618354982
686477548 68190625 250505811
917785253 849215462 135907034
972346568 730864984 36664727
300098092 535983334 433389887
312148807 866775549 429593319
131770085 431042361 16054351
130074108 879282205 928337241
720459037 984222437 566793174
523309490 504689651 725354899
391627210 123411474 336684248
695621841 338961528 189073482
936815503 443480563 677976019
746649476 62861970 479783380
419595789 32472275 689009846
699087051 135227147 734100057
139023324 727311797 304585643
923999988 157527217 707337241
446785353 145964269 212884392
945005792 619751379 347306348
558334964 351785337 782362174
94128979 947432816 968278104
502453830 625966982 390025641
456856004 114514644 46072471
909142207 51299713 779054548
482619022 169788484 681877365
874549818 580649251 3535628
983165485 78901417 329860325
622513199 190288795 725959962
727504340 134195376 639684373
775168383 533515299 932074059
511614981 113526242 964103016
183358444 184680863 667096628
405654103 595299744 445882145
707694865 872843128 577538897
632448317 274103299 681062249
191521021 822030448 470106886
142364602 673171855 252123486
343597657 338928478 274172617
424514414 600884579 404437595
540823743 746811381 752600544
277637867 494119947 108077451
946879767 36018448 220675538
413752693 590731902 547091514
525803045 572021041 296904396
585868494 701142539 169963982
580707427 459536237 365285378
293338980 580296140 71913792
845032395 941873338 198894570
477703387 798404219 799362373
266004763 309307423 464719088
86140231 999045403 322070742
406392852 996374511 600734446
715126961 424520951 606021681
962104956 410220445 571408231
144169017 929407470 459107747
848783686 653546131 257020482
994281531 907141564 500888546
581546142 372390018 251622289
140392228 740814140 809430567
209888599 532327983 992522778
225948104 385139347 995007191
132096305 829501409 374693406
724278172 286921714 163334177
442760759 67978768 276477836
532375125 67681007 871236819
285996153 345810410 920725004
176050034 882327761 761315206
985437048 357934610 445656732
696169661 906114445 702193229
101005628 727763868 85052749
791457575 429081208 339737874
44754708 342680001 598888417
769681345 327340982 683259111
574693258 304329970 172040921
113114446 93267101 362677344
334102787 188681573 630778824
161802741 564044164 578036290
919781040 696747019 57267466
686500568 983251471 103907972
334934739 137490067 224084165
325939455 322992843 243456866
145667952 552384038 993870212
656880695 352011532 958958395
317101474 244432363 444553894
703697823 397036689 90808271
878414221 936840456 622250548
548008056 7010324 675808966
497188106 352334665 636684786
732631152 491697019 699270250
474950358 131589950 944229697
541235385 363648443 910554408
818944469 730810452 630662079
277086750 849813147 112145565
870741357 799981331 35539264
503273397 214423019 504586015
416424403 614026529 789833519
115461803 801885239 858931160
778037635 241585508 579953621
464466017 895137699 245352701
296843710 671218522 517349152
636657727 696105298 295191054
514804815 533157131 729669808
701695285 938322474 91229957
42311079 413929036 504679828
354671915 712227594 267546239
858881239 53685744 292508656
449062806 174227978 35827668
18504396 311251048 256912339
146286079 502274410 982463833
136009583 387665237 846146602
160134973 524558099 224410633
277132847 76978056 684881054
902052743 874011043 485142204
348246170 174510278 912687130
131139679 129850053 270681529
108535103 709591423 959522710
643400905 204606299 730974428
517429285 581284685 218776743
336977065 196237861 261739601
958824184 69542962 354577669
73890763 778631262 896784708
473559229 837124782 496195712
341188803 380225907 610296282
163483306 751191312 525516286
110258599 379616260 295545888
664736862 541418376 989415794
664882655 437480704 22943202
396105405 575985526 96200499
862335568 238476720 831581228
853927851 833555493 742313185
40399607 783355321 3701875
76969079 660755559 587075753
681295206 748102978 414710607
429099409 171019524 805217024
593778099 625281685 587130020
251083212 133176466 246930505
33726804 957439714 904384941
778990181 321064482 923837163
255035346 723709222 655922007
919035873 35404726 673058179
533189430 395232062 997391619
446077111 470118244 593134887
892717086 420289124 866643311
649239352 397637320 39735289
562631353 490373842 464489156
221413926 642314687 180664681
296616278 156672208 342197153
686881320 238307586 646430453
494738276 294633368 335090824
536452195 197313808 94862472
422147568 708421244 285333360
4603702 794675950 565341342
298627803 455781046 652043890
244703049 169017126 594309502
838531047 139581299 149207876
167494402 854935062 736766651
496051870 16652817 828377240
652512141 46328659 609644515
49172441 516366993 25768823
764660173 524857113 990147911
848461281 512657496 952001916
994966065 919026317 147122395
603441571 513950725 556065031
503040053 481391386 238031134
925666643 244366640 587078223
482791862 985421912 101936167
20723925 743289229 737426474
454164330 746637045 416554077
901131948 245431451 194377369
674292734 834569796 73658922
796835273 410559456 452611956
776180103 908667765 644092057
483468893 693410609 688800331
287736794 564035423 243623319
672373643 185275995 514852443
949376443 922347623 952729785
588213657 482602687 675727867
760515889 495296274 396676264
812534992 782566650 486996591
215599715 631293679 739392895
221231833 498413617 512837024
559428100 847804072 939328353
479600611 721315802 301674152
431479563 86839449 328190991
371922298 497429966 680862317
211272468 562533258 615856381
947176649 403478064 92174400
961622432 907728838 144523514
683315893 774820081 817820756
602292829 565171152 858255879
215754453 574807028 251830036
808789149 633459943 837087621
325360188 207489630 332650041
2792673 121278104 747056167
551511025 356274545 581324466
377227154 864910384 335817530
237180834 968973990 42906785
854025379 545126299 476284440
567619545 539255260 389885360
684537778 33391327 898391078
24397299 727470725 182394221
267561564 213632015 751395633
971505521 494392311 631890233
643412334 493740800 111530228
984737502 515685072 374305085
303181664 234480445 180549701
503805640 472691896 330063227
854808852 860774233 580008019
391596243 257425076 677814935
884286578 330865191 603020483
868803035 980101052 571066302
646228401 168495586 33513683
620492674 203864664 127723742
595728597 877329525 734296420
691227914 951848942 996574174
842482648 242257363 51692959
410902039 73778869 660871879
156143207 246643882 695433708
67409510 226384701 96007212
43401753 553153316 55533440
336359739 879928756 588395202
604209906 677557301 207447199
819823272 700551032 261852950
483962473 80888560 64158267
894242712 441755842 131877369
178020434 331090215 161702344
69723302 302900905 859480744
162603884 229118274 345786777
502116731 303141968 146103196
458214136 327071797 337849559
635161885 508007761 681728053
736427242 331260379 976438409
621327496 956134560 784971612
121262503 172806091 411078344
200774818 305221664 735633062
650761077 953588129 170205066
607687881 132309847 986568206
457053551 898924801 517460943
50218132 604041466 351956364
19665022 928949171 768218249
765255705 702981702 755578148
182206927 313292131 456925123
108556361 415699555 673650085
151859658 962703845 452607755
526927700 898843216 800904410
563035759 735411094 956326761
902067510 623462108 404487378
657740805 211595659 302268084
502761759 659240580 621084157
134224140 675837271 540098646
109146292 231797918 592903437
27916881 606949239 512017270
288684005 962781437 332805937
827777486 42410487 498214130
1991408 684089484 607077198
644610720 140669414 920302158
531507877 306675572 444107022
41861185 831690571 418350910
241759188 182567158 795731094
882767992 720813081 5091336
692133391 259546008 790490255
210437889 830724006 857474381
944110425 521895992 476898108
501687356 999817742 310225490
910888384 529654271 86715648
952672648 605948132 900722257
564313276 923313918 960802264
572402933 132377003 604101475
312371342 336996340 397210603
870573496 440463369 980496337
992812866 183179201 339389902
190638417 394013817 301888460
602462126 14283277 901031001
136470190 9397874 41377747
431100241 186357734 770671600
792606192 293333861 903913087
698097002 397448266 805048223
248923359 114603227 780458521
179417314 895094700 823840666
656042276 261926430 821505214
762857254 713471856 576502290
13412248 585352195 724527262
760167466 647095943 671955790
827375233 962662588 240283964
726333148 740129246 944511640
957926086 525111108 210631604
248883660 407205841 282289823
507358362 647779491 849349557
459589669 970210362 44011745
71888131 392303933 634184030
72136627 44468909 671087034
484592766 784518349 224576172
924719742 341509252 102327916
490555860 552952266 1373614
832789710 860250001 586095321
574473859 440946816 453997443
757420493 179878314 875838592
934891232 326717893 128223971
900415846 937850243 256614148
741221684 460659361 989002703
298602035 287130814 861597530
380700846 875763061 505807624
575156323 822925934 688425587
819123910 237671070 308068164
172049828 395010555 583128091
439420826 392799151 924419973
114973496 214517814 822791750
135282129 843578299 220184935
63464876 843175303 277340374
78328811 413048301 143874644
718243259 342008088 170045835
280502481 366900485 696903433
676271129 386213840 123696843
305566357 256928200 319107500
909461942 680084906 665855984
291154651 423746457 283909180
434454570 616747180 549212332
68754634 93121096 336347823
386498114 931010829 613332581
488896106 686245573 479862913
753506078 918796513 156333642
782233239 297859569 219887585
710945994 3777507 334754975
73321826 108760226 600140974
539425487 927199735 138582049
37902103 537685958 903280805
201727735 86509472 561436996
344111772 33518205 360852012
855895821 383857827 225990325
238890092 746399493 14182303
380914724 634163168 450422980
836920498 393754804 315550126
645534948 826946400 653964819
841083546 235762145 800781003
179340825 719221338 583719412
629574522 125841480 806847136
863968314 925165342 333531442
971239655 912550684 188678462
155892471 821765940 175249558
211880307 635723538 571673754
703195593 713666638 740254259
104499075 335483410 377031673
517791015 791595795 761283541
692928696 34434818 282902185
935156037 438660515 17927377
223253487 661111957 957228778
79591480 984719255 648025053
260003152 574914462 954264610
840855949 28958017 303873480
185742690 672878586 764498675
949191603 164256652 342431308
946511930 466750674 770462054
450408018 366132242 555813539
361389486 791260944 895262184
78640411 645952546 384293825
416860267 379910309 494821394
404006753 937663032 815460692
588060332 274440294 259688784
345003004 813331116 369878130
962943875 905770104 763467161
53062897 481126365 989331887
977778990 941107493 438920979
552819987 142180711 661697488
996222101 663889361 838338580
111003259 744649577 549215677
296664867 679432862 903935470
745443961 627574311 742382693
374279765 634131939 376887211
155737203 463621179 221034524
202441414 97384699 908775470
483982236 459315648 850787063
122990064 131275483 721161064
5989103 351122591 585367129
445959238 177421868 868163618
21228505 35253557 287665987
314167784 812645111 702573679
856598461 914043579 350301521
745851477 317246191 243367591
203334857 460767520 537980838
165025635 153702708 467795333
841920326 442020566 616932506
300144330 494402574 91975250
75023051 420469952 686711895
712310496 922291348 586717531
865950065 567756643 626111588
284489443 771493876 232015869
706934311 883408929 243620807
641092150 491644750 773978502
984570044 344371267 139511069
275418819 857416230 207883871
333452161 479361306 868849356
676690663 182313599 18907562
557273484 862033142 83609557
147425978 108590490 938352302
43817973 219515011 606973745
580909518 444875718 28997016
885762483 688201586 337113522
732215132 174787195 43790526
388830756 370612109 170782984
498522168 898383441 933086183
577855325 246648420 250968354
116827698 513472321 709510202
457343420 426394582 395056023
640924790 51698552 554708220
969894248 952707343 769834696
301292907 827260044 826648286
827247075 268273377 9371258
217810201 454980254 37882660
201809546 614151700 540514465
921454985 204598997 148503947
92627015 293216228 385013602
769292880 812700492 286793689
626707433 281224994 522791845
195114368 792922336 50849285
857880674 983059701 384409292
705581877 798518173 677453857
109753184 469269526 573363888
933309154 415247006 501274842
964218596 361079245 96138156
421005064 59241643 912912633
963637019 249201137 385034473
791655522 985719548 467508127
370970814 382005798 622626249
468478891 275349709 868692197
188953113 50506666 834642688
972979620 589630963 228489618
219729846 362114283 131578348
992993840 816016169 284880948
269068608 311781547 374589830
960842262 320011306 50589362
866646991 689573221 61922527
1839862 6502730 799801924
23366134 723014964 118044466
59519508 364551052 920615867
223459787 136137191 726852009
605466316 827610121 584208800
427561488 764628030 438212339
899751769 607523440 140074904
927981542 883507159 344624285
652299307 891520520 139277652
791685854 193702347 915110676
549487821 638513462 959958550
226985508 84805769 969994927
921877156 696906968 877590159
309318047 261787982 245558233
151909913 635930378 906323712
173211811 682811817 171799483
247314321 126482087 576620899
108673217 86960714 904788845
281993230 154100102 642680532
429677865 420347583 810935206
932010832 777923999 497865309
758664020 294511840 187172094
769191632 692612825 372565919
80025500 548254453 308775757
562115895 891921935 246729995
151625579 875640644 964696733
121760482 54566949 163026567
815174449 22970938 928732310
669186466 147170472 164377693
102681691 795196888 421275003
307333026 573580029 274699828
644171700 938274787 257715607
986645260 143533569 334985022
130480358 496561205 644949357
880536694 433154647 178627458
420534269 844366459 369055531
412266112 893185585 818464569
207498391 102606072 912716655
267065002 894645645 88542497
3108478 154118765 78688615
21573824 140517980 892261319
518079817 897441984 157120476
945627871 855526005 641693705
918230268 415442674 584087284
862749356 829857376 273008655
248374478 145977112 161870480
520026435 528151999 435493159
609510402 304061124 529075022
419711556 618556784 173606486
304738779 16868565 218674480
769451821 814803628 153875298
962032280 267221017 253323536
771268523 134060576 468693916
504024186 628986729 76234532
903888494 402521670 72949789
687359128 746632873 399882875
552387824 664284561 301673272
849067748 35911086 569143872
251940994 373165225 583297679
947976062 200582285 491273214
251351298 990428864 502491196
918745512 908374337 593101711
302476382 375589585 379472224
203826339 895659682 535374610
617999321 977474814 129886837
268119969 849637731 729643747
307799457 294928354 838205823
143137144 591443709 67299726
217661175 845374114 924384693
303023672 409798754 709837747
317277644 312920437 310223735
223436434 69929807 120634606
205647321 870218274 54386937
311177569 610858705 739742885
261442120 589264116 734720895
764444367 240677760 45387939
640804267 576921156 617538114
809364295 428431571 882462314
337427298 189227177 557126739
687177815 77060321 866567459
120472177 252457888 215735375
224742827 463074892 449361852
858784559 206788524 301519616
344648484 631831787 685788341
935713600 367056516 392950835
513353897 364902966 448466505
222073520 469938790 264593110
168245147 135074902 997774176
868316512 74077872 842611555
698281489 754421779 539742410
827600560 499434530 477961697
557006847 279510199 352439491
391952673 287753922 599585299
721292859 582029435 444080166
649857676 785863202 786267313
516510806 215531205 429561427
268178793 744916713 540729731
111511339 225225516 831036722
94233677 969442339 792905452
358364432 32776135 465037189
303340367 658849031 232448089
777122797 575626733 476430847
870191802 985923201 664123704
682767573 2288526 157516709
793971023 959516590 184505002
770730023 441192125 667165052
102740703 615648147 292034985
425912063 802637547 178260792
311654968 269359060 42450096
40624776 167409281 172732640
860708487 691168206 660864220
525207750 227364821 428734263
291378636 850681281 147352237
329304971 839790271 297414500
331762477 907932130 316819016
754494318 806616752 763111315
140836403 859391069 792470951
735359750 916561230 503630537
824046696 245220305 236644363
128281165 932589901 243875663
897858723 810370797 225939006
440830300 70302357 512383488
680203062 645141117 242047702
728227349 249593635 382283527
133441014 905842756 929428990
162975071 508778691 591497822
508956992 478561234 503547532
638034697 40576990 779037529
876101523 364637018 102072240
97090313 872747126 35967876
891633495 911358938 525527464
99511848 652184183 128239669
73767570 960464186 991672811
429895892 53106777 39602800
600381140 491759574 545401639
141775017 700500369 689313644
88604963 838237747 345659644
726544854 583013321 47578848
75741867 353247716 53134090
203053072 974505023 542683873
557052971 621630385 36772253
716492164 182612545 62945378
199886937 354787204 291706167
679284818 672919428 637417799
746108284 434200798 365802351
782205557 223586734 359089967
815765389 167642837 171089512
557300820 199708581 761100069
376104754 328200820 789894709
94225936 195451629 972522645
250073082 851357948 148450506
668739255 626561952 164398711
480792217 420058096 828827223
518759012 87109401 226036129
881951412 831754362 611297804
662271073 136747075 319027500
476350654 944590268 921252126
225278068 619604557 796491375
670680259 910442911 931742029
910296500 801181471 908680292
930940787 942573621 493680075
415184723 643827325 126649943
808767703 176949880 305020344
252218296 3046142 600471230
490064505 502819491 949919609
947572405 990103608 339730146
856785332 939445995 739951609
98945595 228193676 301987888
846024632 601987174 466714271
435021520 564025662 994306548
651869433 357997769 750686258
786401959 822594858 111187122
440727119 114605392 687514836
263087106 662343517 985024432
293222221 745228030 859176248
623592552 151315227 319348127
357504414 254843154 86139664
572036722 440826715 880624633
732527225 626445141 663514509
42050934 834624078 348805165
96638947 202774623 579817526
529526019 759187593 410346829
582035292 901138559 364978445
581264360 604002832 978238747
526066841 483077131 298792435
987654848 185674783 477472174
824791502 612326290 368212831
660899484 737412268 234673960
489688857 738074522 737238952
408996840 572874294 633589543
382831180 812571256 756850171
194780780 190048274 955716863
620612449 47584801 676432241
515312759 12349253 109066059
801631951 830110819 677412011
547546340 264750929 297603605
639698182 164807970 901744696
385736856 554245542 552987681
887583068 507803052 317614566
951020165 703090547 420526233
584331002 301853667 788155149
919276550 396250243 29732033
855647033 11014234 219416676
233213853 828931812 283684779
854438448 102012212 375528483
407490228 717928278 416537964
69019345 698996177 319134050
187951234 40588625 885965699
513105032 275682518 148983763
76142161 982560052 45613935
439259055 850467843 597848467
553128908 515272321 454637760
605566487 622307869 491526400
689509207 140755367 320289282
217772284 42366290 822134905
643153534 864687337 796352114
790995709 704881469 218244517
989876960 356034241 394550073
966735600 707727584 718745654
813723376 886089646 481146288
881627609 983580796 136247831
894035286 258493973 367373177
372167406 963411450 93755554
502179194 338998155 72188956
763227688 841488131 505565970
340735325 78532124 702483709
72552111 500894288 527908921
486667224 98948577 459832271
859839412 32168634 536431626
621134984 655130681 86769851
31203004 505947094 463563688
320365591 5451476 320626138
448600463 252973389 937377064
53716253 427783149 405190632
51864240 486750704 856500815
30476863 170759070 43726279
588069354 615875997 209468563
495180235 284948986 275409325
651811968 468357245 945347015
884689920 449851855 95392240
604345191 541166319 549776389
388165533 394349374 836541116
77452441 42364926 298406549
389024043 277565880 282036868
662356732 307891316 266600318
688301671 639209599 495152992
722000446 931005524 604194911
735701229 307862910 451865856
354739980 815799008 713186328
536464141 246776503 632277058
813115511 929731890 198490070
160188786 709364739 851830142
