99997 99983
-205621607 624751038 -1052840127
135811256 1028798879 -182281901
987609468 271421839 500006605
969562344 781064074 524216652
-579195112 -172515711 -717685917
-602492785 -234145549 432934749
-266127151 121678257 125139981
-1064885382 -219088171 551044047
648067642 18915217 -255499227
845519287 -819001965 1058190695
-748947727 -822628317 -649691739
744677180 1005048206 36664790
-539667992 -165941454 -604442817
-840920884 -334180587 968829661
328637853 169418405 -163076436
-564518378 755757265 203304782
-342041691 -833302835 -371898416
978917477 303016986 96037357
-949371744 807417613 -277921165
-933646019 561657283 849255029
334012824 -401245071 -241019301
-1058627123 484795737 586774871
353185959 1020538589 -769535407
-691089034 883613035 -412669161
-731144714 -1064811387 -1037877889
-802972102 -405617268 778823453
538514064 -294050618 106134751
910049280 -169201095 978682110
41121201 489026956 -727001222
317065367 -270104461 -510979451
-81106760 -358050679 963702371
810701212 -383626195 546546515
249582009 906760646 -434909091
-523464902 348684859 -353375769
-281290643 134580263 -1029955201
-41917819 -563883212 506806438
750754591 1063715922 74139379
-923640237 -618703346 -429158270
-878228365 727902837 -402373801
654972825 -843564725 -982904806
1054256785 -303640690 109564161
87813300 826630565 -739551430
-262190769 627220406 516381397
-480788032 -205628441 175723657
-625387925 600646067 776932176
517157477 603317929 -73639830
-621860633 483388734 139220527
224673984 746487568 429896990
-858224876 -397981540 -263186713
732725185 872749275 783510606
-745161734 -849021042 -946085107
-958369886 -634242950 -653730340
-759246903 -419337797 337806677
-930265044 817170435 400087167
533313441 -433133341 296965525
364162960 -357054650 -359424284
-1004908250 -279934082 544608253
760692102 229603962 992848798
1020116994 -807971846 910404389
-918049641 -148324867 324931547
434886175 694948834 -179886735
543347122 442396937 -68372985
333624176 422949825 21054193
786115410 299853529 -447722532
717673629 -850001466 977299411
-577247611 -778759187 -353509865
531297257 1044186563 -600891243
-1022255865 -503970322 192424821
29608665 361814054 -735453918
-194281692 894563829 -111035207
-1049322980 -883199419 -789279820
-914436748 -271505514 56110879
73485612 -763420154 -872587606
-883191168 589412011 -259489059
139640404 755319070 -890777593
36114729 -861931080 862544026
-835258086 909270772 -963843318
95581651 -1012012214 682431922
-436571119 752801027 -191282724
-324590991 -34854078 382669337
963445427 -561433269 25645139
-464195672 985671484 -524185734
-298360751 -887613488 403195828
972296472 459960784 200130396
717118525 111060209 150504159
643854140 969211248 -626898692
-350697623 -369137011 -875262952
-929026282 -547194872 842459844
-671506193 1031238500 44535852
-20380713 -863207218 -357717777
436311737 -382018101 229797561
726561131 -344445160 245256875
-644208325 384825863 914499189
-679290974 -955280121 939060237
290806135 -733953354 -301086846
-169689077 927842192 -413905651
-619254873 89708931 -445675609
-224003326 803976431 15197700
623234311 607617549 193544917
-786015945 942318946 841746143
-616983773 -642311140 538754536
-711055271 -1060948829 305103649
742918972 -229225387 -1029217984
987856711 928511700 730103584
213169490 -1784720 -251617506
-449027909 882541640 -968814437
147690370 -802448574 -614547470
354723422 -840405796 379756594
-23592916 622203000 -688355388
371211559 225851482 979312280
214613544 594214684 742070779
-990390080 316683105 177290471
489233912 -237539215 797275878
-318355025 754208517 308229246
-524594916 627662831 988879129
887558233 -1067771049 -430391619
-278080625 525293691 -83112394
835043603 688406501 298651469
993602194 -688225287 653934191
-540427904 -541012398 -475824521
-376024056 -664046985 79962391
-849253081 -950947173 -844941405
46724158 171950190 949149665
558099053 -922410878 314179988
-76901228 -246764004 -189104318
-395846211 759364772 48840480
-8459620 588686140 -95932882
-781886573 -87908738 1047292010
607864631 39733768 -129020987
-900616567 -16780952 412385875
281556341 626596012 285212167
134605396 374565061 930354189
-452657651 353563251 307335575
-374912180 613809778 -395160436
-224683164 -991387757 -899066829
-187634610 710324857 494731667
256162380 -548200605 -550598572
733866282 367282499 91062389
-891649473 -263413564 173407580
937676871 456882613 667549047
-299156006 -511525416 312464298
-964800519 701792990 926871473
699597772 60258481 100558460
368432314 -905425027 -902385712
911137537 -118632026 796785113
-876364244 -324402175 219757086
1030954541 746855768 -244523113
-247320968 -567338008 575134466
620010395 -731127242 304641439
-965152257 292814252 -225075139
-731093146 -612598018 1037360882
742131769 264302692 -994171155
-260276950 449518680 421573828
-582212284 -244538842 298984043
-875989530 -159133019 -81316583
266146520 201582284 542488768
321780699 62884193 -395784690
337180937 449474898 396898969
-918226753 794911934 952436148
-316223908 734121013 -701808944
833705854 -670923314 -544604802
-185041166 -190553813 639457981
-69665723 -654707016 -849984071
574042881 819401283 -443938855
731283171 259199676 629828468
207506093 693147516 469449895
-62015246 462421034 209387321
141445555 499085281 1034386463
629531489 -267970696 80535998
901125718 -959576164 386528570
-594417818 679913793 623513132
917038413 -329219331 880985747
-583397284 -443302892 -1037015496
-322574877 -98687369 118405732
789776099 -713601770 904074352
1067835622 879637930 -324733597
1053949464 527946621 -692357685
1008101129 949489137 -510707533
-115830290 748417553 576823532
-372939789 591513639 301114306
-806754436 1039214022 -749307366
394877614 -670734604 -846801613
-281682359 874495626 -242152250
24498686 -481677986 810174730
-1036551412 215907642 -68178235
211357948 -676732249 -1026935842
-492789203 -224310179 -578334739
408863508 -24638427 -303364182
853763035 -856937061 -470505115
-1046612568 -117065804 -318421472
-458646292 -448947448 -156155628
928777343 217043762 852053484
-943645559 -511318121 364142133
386628075 984809326 -1032099627
-316039777 -144848776 284808415
-19991097 -302679012 -877870166
533417078 -216930214 -786001159
55963704 -861983428 247249698
-50764696 666391304 -951546062
497205045 942040982 711383147
183200729 952365754 675655454
-550589939 -314013811 -488003229
-465326997 -271703926 -370298053
129482712 303559702 -611397037
904764951 451324331 -606834973
11397903 940692899 -999535642
759072117 258114287 454953119
496765612 156729438 405491412
312934276 -345845601 -380529923
19643928 -695261347 527033843
-137753370 34919363 667980266
69385041 -927792348 785127081
1009518067 854287705 -42724903
-531582914 -59877453 -87979732
-665975025 494744264 813403406
266740662 -649280239 383372567
-766248857 496112022 468160646
-91444928 -992734379 -135000170
-525814001 -147571182 593904555
-101472136 -388638644 -479962237
107672370 599073497 188014400
-819550168 424096985 -1000590431
665284838 -157182739 394845250
648510953 1020927489 -724419400
81280361 -941184788 -708728414
1029441078 1018740267 -1020273540
-40423406 596716310 -778395414
-314080611 -373437359 942788032
47105907 252155930 894667736
740499455 180035729 152448846
-288776003 -842274096 855755859
1070650910 304031262 -1008673825
485081852 -802267802 -177210325
-791886632 413770809 269939078
-404976185 -379142785 -537053039
-190103119 528042485 -960055532
-251713350 -737168205 -826823731
423671431 953730165 -277976635
-109695369 -55124456 -384048079
-526210291 -566796841 857580414
-801213326 -231143021 -59669320
-874562345 881959902 856187898
-1072846287 55794711 -844439212
993656508 591725120 418910944
-359283376 -822416744 870518250
534624741 -489452984 -872238655
1058923855 -4243429 -1034957367
-294797642 -1062002645 72615136
-228758541 380321492 150642859
1013330224 -1044848791 -265813549
221411582 682027748 -999681529
237613212 -518993756 244188511
846654891 -648557733 162009192
1071679281 455384641 -40330620
654380223 -962077237 94843007
893305544 -26585129 -518453739
-108129180 824044699 -854134275
-1000264727 -19029205 -201502641
175349484 -188157849 -794762805
781196776 735095726 -859110799
567591075 558100224 -839684462
833321128 -424879404 239805843
101950231 665310923 906842513
771470422 -910068739 -87331048
452267027 -870752145 1023449067
-1023425821 54250109 848287452
79105040 94451468 669925491
197378843 -378994090 243176058
867375353 -596460732 45633936
777434156 581576518 -734830126
793268520 828386557 -208149194
-1047299748 483655826 219558723
-907412093 -473424138 230236687
530175588 -716188521 -105927495
-514855607 -12208307 929146489
-138656181 1048538202 177953680
-168067460 -683913950 -314808502
536349119 -264175508 -385466231
-937607642 369994759 -297786491
176009889 706137050 136164366
-773842840 -736980574 94159795
-982878580 -719127013 1008642129
-738488192 -332686637 -16436036
-268087993 1016785886 -277890851
-498895627 384828847 771359388
970875403 939990989 -34210975
-918103719 -47520135 937263722
-27704324 322355507 332951165
234793049 801936231 -378059821
695662006 -966971699 488681370
-344651233 -217625785 442207107
377291056 -319490535 -209715433
-202439884 -421903167 270080850
953236701 -723335387 -195079769
192154651 -246878207 -1049474127
-824755143 555208139 302773352
-645996133 -767988999 -585774951
5977850 211987976 285563784
1066142880 556582333 885632536
-1028142244 -608477755 -434530430
733566201 566359517 -672156605
-190037925 -838513502 487099740
768507483 -516695383 551437911
-1045310118 193942816 150523084
664336537 -993307552 -620913247
-674905073 511713036 272959941
-117766747 78576449 -241941658
570737573 844030772 400070624
707762485 -346750624 -591435284
568513528 406648874 813194468
-81001882 -847782232 -173996452
145540004 480533895 731562570
-26735491 991661466 -505597863
589671604 1008848222 1046734270
-853606913 -725060465 730442709
348407367 -637575745 625375729
821032732 -428988386 -12427876
-657741327 -1029867716 -1062219057
102908581 402211889 -341871819
878909062 466619560 -166019494
-242442726 73992672 -233876452
-948494651 -435062030 741235494
-1010945878 -809045535 -399496264
-910344354 507805795 87617784
313996472 372432831 747412237
-544822085 772597736 408542726
489378649 134618358 -188226645
475705942 -20902911 688343113
-50464058 -808792675 -832651859
157902823 823231904 -33233009
414593906 656448318 797522598
-1042742609 -123199153 722701600
-13005069 -277971611 -585423170
899438748 -87937542 503916844
443541287 -716238876 997905215
746983394 822914396 61465279
675067434 -268572310 -188600639
212245496 615850640 -300654938
226701635 -328530280 820389974
692090867 973578964 -785699575
136230030 -960396697 -460284300
562123065 362464704 -750566637
-717560727 55881214 121695098
-606274618 1049216867 -841923386
478076181 -201035248 819998348
859458584 -793261001 -304836957
-182311431 162880600 -355898355
264853421 586501004 -693309937
-381931941 496054564 1015525448
172487907 -447405166 687662745
-378632386 82311516 56884843
-1073234742 -930546190 988985358
482589325 -691507822 603241520
-880308430 -398087724 -1060023869
-254605778 912077681 841865676
-598047142 835867946 947997411
-150705455 -32342890 -377181732
-25642632 840299163 -901434629
151799255 -238599638 -482289003
-211186157 927456038 176990771
-367787995 -938912526 -813313205
-38662924 -784137232 -636840576
-306779150 257984566 589317221
-379784074 279146003 732571272
-1049544445 -604033755 650732711
747840184 -484941957 311606023
-528559511 238147189 -91351624
546883903 -39971534 336366534
1039579001 702768724 339744696
629277346 -335793596 -373815278
952086518 735014095 -977626357
-683324936 -587103044 397638655
-939915860 -620886191 593668774
347627048 -147620512 571177467
-9122521 269927459 -706348995
-1055180876 -693833720 -423480968
893943190 273704137 -774463085
33029320 59070958 1022970390
252507418 70318731 972372966
508450644 223112392 -324855627
-1005399662 -468835166 233521359
-528249904 -559108628 399785025
-995751175 -801436718 -790329873
552171259 876539117 -451164765
-803473558 41710455 -896131097
48849560 716740183 640116937
215979999 -449306712 367702360
510184870 67560003 461336529
68337399 -266015013 251192866
786416974 -690834746 -252155836
787235998 -905123529 -903339866
-685717620 365343690 -822008782
649200015 735032943 952663702
-791502737 98054173 662205084
542742012 198246732 1015242142
-956420536 586850155 -525254366
851846289 437490312 -424750195
698246561 460091427 141103188
961906610 477332875 704030780
1007267238 648102653 184910472
280669389 -35382084 635237074
-628219925 -85961816 -844967786
21906174 96674592 670900671
-356016460 -210129034 882435615
-270107985 -813300938 355431658
-728464238 -348552466 279425653
788164199 -980564462 379525193
-83240898 682430924 -405557210
-610820687 601721741 -408023376
-8501228 973887637 240235216
209888452 -697216176 -934907895
-127318435 282697469 -872756775
-253760832 397894775 326974595
490057119 -80827645 -245022094
-433059705 414471121 -62559877
-498805438 305917135 -396219707
-550000200 -511375206 -824385190
595613887 -211716951 991596207
-653172739 -316535932 -293250099
273768967 -490149304 1028990188
-456148698 -1031714779 152647822
-895885887 -658907151 964976275
10405046 769175542 456510953
574226387 -558891633 -281166530
516501918 -478318575 -903894014
-774543518 -949499025 -990320046
687535299 -139829034 178670744
25577027 -859002303 -598000714
757156754 -986558856 -303153967
-538938623 88065577 -928053884
910278527 43650692 -373169635
-710760447 920665971 -863577516
712800878 1005640139 937964437
-421070971 314359340 -87043510
-297962209 -332664322 427966973
226287910 -670276270 27871359
680354892 1042995923 1021876191
-259935668 1048262492 584452292
820317515 -1040959879 847469267
744160899 974322537 -543012570
-609438855 208175011 -61705535
972872364 -370261127 532198004
39030411 45276528 242724973
-1021835011 -728862515 905027245
17826274 -501653080 -500260842
869834454 -446104689 -974421482
692540451 -433757035 -796319375
116464486 58815802 419674448
711221739 896986273 -401969888
803264877 958394098 571336666
-15588551 -235107206 357674918
-220389428 397898127 120066907
663205280 -308111986 703631087
469718019 575981409 -880100851
-33017639 1049556357 328034529
-866715121 276242340 406513847
-161835857 81098485 622157044
929787227 -187699251 -522648734
71352301 -718413431 1048349596
-913597330 136316952 -810551540
-1062465991 -406021059 -446566243
1031579770 14048222 17649382
916042503 130639498 -964415492
-555132721 -1043479990 306903004
-925841573 614799956 339099401
-656126970 428799745 935599289
112294952 -40289053 -273145078
-441196798 -949708218 -352828999
462789134 -983017394 -413351695
617979296 -752936904 -752493391
-320922251 -814125333 -628752682
890694776 220254037 -490086191
293417350 -968049267 378629184
327919152 -482969227 347182057
-563358713 310418292 -539226512
428084188 753466993 -499492101
-74572828 92479208 -796605325
231270783 437957560 -822351037
-856978188 -660320806 -579031288
-923748828 -740576696 16366404
-699112903 699704720 1018457039
464441032 -770731762 -151257136
812706995 899384604 -870515960
-312571282 534416337 1008453702
72189967 536469458 -143883982
-596538690 843928441 -689829444
-147521784 -179812254 663854088
-573754550 -198227947 801930070
347749871 160083690 364666242
-487756016 -64273867 475698259
-1010850560 321609691 721078513
135276558 -982892926 -385204996
-1024540921 239608098 780848023
689499066 379788938 -828532476
749786194 -220554948 -82032487
-532364836 967503695 643702719
-80229305 863926596 -379194933
-270433980 -944389790 1025370715
783179611 937327641 801258995
778702909 332386740 517555871
-90578269 474266702 410184192
156587996 686389405 -754461823
880891184 -25629378 -423178517
690869640 -57304089 874104961
-710523541 -92526951 -156294236
206815137 359115626 448882200
223824532 -366811490 816929704
582023317 923910593 -170209623
234364854 -798081040 -1024406516
258593601 -483322395 875535727
-311087163 257647400 252960904
-312113927 574099919 727995328
-496185381 125401245 -70478971
